Score, Time, Reward, Epsilon, Bumps, Steps, Rotations
0, 2.0304, -85.0000, 1.0000, 85, 103, 198
2, 2.2759, -57.0000, 0.9978, 78, 100, 201
1, 1.8281, -48.0000, 0.9955, 58, 96, 205
0, 1.3137, -54.0000, 0.9932, 54, 99, 202
1, 1.7849, -106.0000, 0.9910, 116, 91, 210
2, 1.9465, -67.0000, 0.9888, 87, 94, 207
3, 2.0238, -52.0000, 0.9865, 82, 105, 196
0, 1.9352, -45.0000, 0.9842, 45, 86, 215
1, 1.9412, -67.0000, 0.9820, 77, 100, 201
3, 1.8104, -57.0000, 0.9798, 87, 108, 193
3, 2.0253, -30.0000, 0.9775, 61, 90, 211
0, 1.8952, -36.0000, 0.9752, 36, 92, 209
2, 2.0263, -42.0000, 0.9730, 62, 115, 186
1, 1.9294, -54.0000, 0.9708, 64, 98, 203
3, 1.8842, -29.0000, 0.9685, 59, 96, 205
0, 1.3124, -36.0000, 0.9663, 36, 102, 199
3, 1.8369, 8.0000, 0.9640, 22, 84, 217
1, 1.8472, -53.0000, 0.9617, 63, 99, 202
3, 1.8224, -35.0000, 0.9595, 65, 124, 177
0, 1.8019, -74.0000, 0.9573, 74, 85, 216
2, 1.9435, -3.0000, 0.9550, 24, 95, 206
4, 1.8692, -29.0000, 0.9527, 69, 105, 196
5, 1.9374, -20.0000, 0.9505, 70, 106, 195
0, 1.8184, -72.0000, 0.9483, 72, 100, 201
3, 1.8616, -12.0000, 0.9460, 42, 85, 216
3, 1.8303, 7.0000, 0.9437, 23, 104, 197
3, 1.9063, -24.0000, 0.9415, 54, 85, 216
2, 1.4310, -37.0000, 0.9393, 57, 101, 200
3, 1.2052, -23.0000, 0.9370, 53, 92, 209
5, 1.8298, 11.0000, 0.9347, 39, 96, 205
5, 1.7699, -19.0000, 0.9325, 69, 106, 195
0, 1.8271, -47.0000, 0.9303, 47, 97, 204
2, 1.8513, -9.0000, 0.9280, 30, 115, 186
1, 1.9940, -43.0000, 0.9257, 53, 90, 211
2, 1.9377, -42.0000, 0.9235, 62, 97, 204
1, 2.0166, -58.0000, 0.9213, 68, 109, 192
3, 1.9151, 4.0000, 0.9190, 27, 117, 184
3, 1.9658, 5.0000, 0.9167, 25, 99, 202
2, 1.5870, -27.0000, 0.9145, 47, 123, 178
4, 1.7374, -11.0000, 0.9123, 51, 126, 175
2, 1.8768, -22.0000, 0.9100, 42, 98, 203
0, 1.7907, -51.0000, 0.9077, 51, 107, 194
1, 1.8785, -39.0000, 0.9055, 49, 120, 181
3, 1.8730, 12.0000, 0.9032, 18, 99, 202
2, 1.8412, -31.0000, 0.9010, 51, 102, 199
0, 1.9119, -26.0000, 0.8987, 26, 103, 198
2, 1.9261, -26.0000, 0.8965, 46, 103, 198
0, 2.0989, -23.0000, 0.8942, 23, 103, 198
2, 1.9023, -18.0000, 0.8920, 38, 93, 208
3, 1.8539, -2.0000, 0.8898, 32, 98, 203
8, 1.8718, 51.0000, 0.8875, 31, 105, 196
2, 1.8092, -9.0000, 0.8852, 29, 98, 203
4, 1.8180, -1.0000, 0.8830, 41, 104, 197
2, 1.6913, 5.0000, 0.8808, 15, 99, 202
8, 1.5686, 65.0000, 0.8785, 16, 129, 172
4, 1.8317, 1.0000, 0.8762, 39, 107, 194
3, 2.1140, 14.0000, 0.8740, 16, 107, 194
5, 1.8496, 24.0000, 0.8718, 26, 89, 212
5, 1.8115, -2.0000, 0.8695, 43, 101, 200
6, 1.8612, 43.0000, 0.8672, 27, 104, 197
1, 1.9136, -19.0000, 0.8650, 29, 97, 204
3, 1.9701, -22.0000, 0.8628, 52, 107, 194
4, 2.0847, 13.0000, 0.8605, 27, 111, 190
3, 1.9175, -4.0000, 0.8582, 34, 102, 199
5, 2.0296, 16.0000, 0.8560, 34, 106, 195
5, 1.9336, 33.0000, 0.8538, 17, 99, 202
6, 2.1359, -4.0000, 0.8515, 65, 107, 194
7, 2.3231, 47.0000, 0.8492, 23, 108, 193
7, 2.1402, 34.0000, 0.8470, 36, 104, 197
3, 1.9803, 3.0000, 0.8448, 27, 106, 195
8, 2.1677, 69.0000, 0.8425, 11, 97, 204
7, 2.0840, 25.0000, 0.8402, 45, 119, 182
8, 2.0063, 61.0000, 0.8380, 19, 92, 209
8, 2.3633, 66.0000, 0.8357, 14, 109, 192
8, 2.3143, 66.0000, 0.8335, 14, 121, 180
10, 2.1636, 87.0000, 0.8313, 13, 100, 201
4, 2.0185, 16.0000, 0.8290, 24, 108, 193
6, 2.1101, 42.0000, 0.8267, 19, 120, 181
7, 1.9918, 51.0000, 0.8245, 22, 105, 196
4, 1.9588, -8.0000, 0.8222, 48, 107, 194
2, 2.0226, -2.0000, 0.8200, 22, 120, 181
9, 2.0069, 77.0000, 0.8177, 13, 108, 193
5, 1.8227, 11.0000, 0.8155, 40, 97, 204
6, 1.9008, 53.0000, 0.8133, 8, 110, 191
7, 1.9138, 66.0000, 0.8110, 4, 94, 207
3, 1.9305, -1.0000, 0.8087, 31, 101, 200
8, 1.8594, 64.0000, 0.8065, 16, 108, 193
12, 1.8131, 106.0000, 0.8042, 14, 123, 178
8, 1.8190, 32.0000, 0.8020, 48, 107, 194
11, 1.8404, 96.0000, 0.7997, 14, 103, 198
5, 1.9551, 15.0000, 0.7975, 37, 105, 196
10, 1.9123, 80.0000, 0.7953, 20, 100, 201
6, 1.9763, 55.0000, 0.7930, 6, 119, 182
6, 2.1053, 30.0000, 0.7907, 32, 128, 173
11, 2.1088, 88.0000, 0.7885, 22, 122, 179
7, 1.9451, 46.0000, 0.7863, 25, 121, 180
9, 1.9283, 69.0000, 0.7840, 21, 101, 200
12, 2.0832, 107.0000, 0.7817, 17, 128, 173
12, 1.9563, 95.0000, 0.7795, 26, 126, 175
15, 1.9463, 125.0000, 0.7772, 27, 124, 177
4, 1.9216, 5.0000, 0.7750, 35, 106, 195
13, 1.8391, 116.0000, 0.7727, 16, 127, 174
9, 2.0587, 79.0000, 0.7705, 11, 111, 190
12, 2.0605, 105.0000, 0.7682, 16, 129, 172
16, 1.9796, 134.0000, 0.7660, 26, 129, 172
12, 1.9597, 116.0000, 0.7637, 5, 116, 185
12, 1.8898, 86.0000, 0.7615, 24, 124, 177
6, 2.0349, 58.0000, 0.7592, 12, 112, 189
15, 1.8768, 141.0000, 0.7570, 9, 113, 188
15, 1.8950, 140.0000, 0.7548, 11, 136, 165
7, 1.9961, 51.0000, 0.7525, 19, 117, 184
14, 1.9459, 123.0000, 0.7502, 18, 123, 178
17, 1.8885, 165.0000, 0.7480, 7, 125, 176
12, 1.9556, 111.0000, 0.7457, 9, 113, 188
14, 2.0260, 106.0000, 0.7435, 26, 136, 165
14, 2.0137, 134.0000, 0.7412, 16, 141, 160
18, 1.9761, 163.0000, 0.7390, 17, 109, 192
14, 2.0538, 138.0000, 0.7368, 3, 117, 184
11, 1.9690, 94.0000, 0.7345, 6, 107, 194
13, 1.9653, 121.0000, 0.7322, 19, 114, 187
14, 2.0925, 122.0000, 0.7300, 19, 115, 186
11, 1.8113, 86.0000, 0.7277, 24, 117, 184
15, 1.9759, 118.0000, 0.7255, 33, 125, 176
10, 2.0345, 90.0000, 0.7232, 10, 119, 182
14, 1.9465, 128.0000, 0.7210, 12, 128, 173
15, 1.8410, 135.0000, 0.7188, 15, 129, 172
12, 1.7985, 98.0000, 0.7165, 22, 110, 191
13, 1.8784, 124.0000, 0.7142, 8, 139, 162
18, 1.8330, 158.0000, 0.7120, 12, 127, 174
18, 1.8481, 185.0000, 0.7097, 5, 121, 180
16, 1.8486, 131.0000, 0.7075, 29, 142, 159
17, 2.0142, 149.0000, 0.7052, 22, 120, 181
15, 1.8559, 141.0000, 0.7030, 10, 113, 188
19, 1.8466, 154.0000, 0.7007, 36, 130, 171
17, 1.8510, 168.0000, 0.6985, 5, 127, 174
16, 1.8073, 139.0000, 0.6963, 23, 129, 172
15, 1.8476, 135.0000, 0.6940, 16, 126, 175
16, 1.8731, 152.0000, 0.6917, 9, 137, 164
17, 2.3190, 155.0000, 0.6895, 17, 127, 174
19, 2.0119, 162.0000, 0.6872, 29, 142, 159
15, 2.0107, 130.0000, 0.6850, 22, 126, 175
20, 1.9305, 194.0000, 0.6827, 7, 133, 168
20, 1.9479, 171.0000, 0.6805, 30, 154, 147
18, 1.8999, 174.0000, 0.6783, 6, 137, 164
19, 2.0344, 186.0000, 0.6760, 7, 135, 166
16, 1.9005, 158.0000, 0.6737, 3, 150, 151
12, 2.1203, 97.0000, 0.6715, 24, 121, 180
19, 1.9168, 182.0000, 0.6692, 8, 132, 169
15, 1.8384, 131.0000, 0.6670, 19, 125, 176
18, 1.8103, 176.0000, 0.6647, 4, 126, 175
20, 1.8036, 169.0000, 0.6625, 32, 132, 169
17, 2.0339, 156.0000, 0.6603, 16, 131, 170
16, 1.9173, 145.0000, 0.6580, 17, 142, 159
19, 1.8045, 164.0000, 0.6557, 19, 136, 165
18, 1.8546, 169.0000, 0.6535, 23, 139, 162
18, 1.8228, 176.0000, 0.6512, 4, 136, 165
19, 1.8035, 177.0000, 0.6490, 13, 136, 165
22, 1.7928, 220.0000, 0.6467, 0, 129, 172
16, 1.7972, 151.0000, 0.6445, 9, 134, 167
19, 1.8047, 183.0000, 0.6422, 9, 165, 136
20, 1.8399, 180.0000, 0.6400, 12, 141, 160
18, 1.8136, 180.0000, 0.6378, 11, 145, 156
22, 1.8127, 211.0000, 0.6355, 10, 163, 138
18, 1.8624, 164.0000, 0.6332, 19, 150, 151
18, 1.8934, 169.0000, 0.6310, 12, 119, 182
17, 1.8175, 154.0000, 0.6287, 18, 123, 178
18, 1.8321, 176.0000, 0.6265, 6, 133, 168
19, 1.8498, 170.0000, 0.6242, 21, 136, 165
18, 1.8397, 150.0000, 0.6220, 32, 147, 154
23, 1.7984, 207.0000, 0.6198, 15, 144, 157
22, 1.7925, 220.0000, 0.6175, 11, 134, 167
22, 1.8336, 211.0000, 0.6152, 11, 139, 162
22, 1.9166, 200.0000, 0.6130, 25, 165, 136
19, 1.8825, 183.0000, 0.6107, 11, 157, 144
19, 1.9332, 174.0000, 0.6085, 20, 153, 148
24, 1.8312, 222.0000, 0.6062, 14, 163, 138
19, 1.7934, 200.0000, 0.6040, 1, 162, 139
24, 1.7803, 234.0000, 0.6018, 7, 142, 159
26, 1.8080, 259.0000, 0.5995, 6, 166, 135
18, 1.8808, 159.0000, 0.5972, 24, 144, 157
22, 1.8803, 205.0000, 0.5950, 18, 149, 152
24, 1.8379, 228.0000, 0.5927, 14, 156, 145
18, 1.8301, 173.0000, 0.5905, 10, 156, 145
21, 1.7959, 198.0000, 0.5882, 18, 175, 126
22, 1.8411, 211.0000, 0.5860, 9, 141, 160
25, 1.7978, 231.0000, 0.5837, 22, 151, 150
23, 1.8353, 226.0000, 0.5815, 4, 146, 155
24, 1.8271, 231.0000, 0.5792, 11, 155, 146
23, 1.8170, 207.0000, 0.5770, 24, 160, 141
22, 1.8218, 213.0000, 0.5747, 10, 152, 149
26, 1.8590, 239.0000, 0.5725, 24, 161, 140
21, 1.8100, 202.0000, 0.5702, 12, 167, 134
27, 1.8689, 265.0000, 0.5680, 7, 155, 146
28, 1.8001, 273.0000, 0.5657, 9, 140, 161
21, 1.9158, 191.0000, 0.5635, 9, 136, 165
22, 1.9564, 216.0000, 0.5613, 4, 131, 170
23, 1.8576, 228.0000, 0.5590, 14, 135, 166
24, 1.8305, 212.0000, 0.5567, 18, 136, 165
26, 1.8548, 260.0000, 0.5545, 12, 138, 163
20, 1.8524, 171.0000, 0.5522, 30, 137, 164
26, 1.8616, 257.0000, 0.5500, 4, 152, 149
23, 1.8176, 222.0000, 0.5477, 10, 158, 143
26, 1.8133, 252.0000, 0.5455, 10, 162, 139
22, 1.8073, 212.0000, 0.5433, 9, 166, 135
19, 1.8040, 164.0000, 0.5410, 28, 132, 169
29, 1.8428, 287.0000, 0.5387, 7, 172, 129
22, 1.8672, 215.0000, 0.5365, 8, 147, 154
22, 1.8461, 206.0000, 0.5342, 15, 151, 150
26, 1.8078, 258.0000, 0.5320, 7, 175, 126
21, 1.8104, 197.0000, 0.5297, 18, 167, 134
26, 1.8216, 249.0000, 0.5275, 16, 182, 119
33, 1.8843, 325.0000, 0.5252, 8, 176, 125
20, 1.8441, 183.0000, 0.5230, 18, 164, 137
27, 1.8513, 262.0000, 0.5207, 11, 176, 125
20, 1.8890, 175.0000, 0.5185, 28, 163, 138
29, 1.9384, 267.0000, 0.5162, 18, 171, 130
24, 1.8124, 232.0000, 0.5140, 19, 175, 126
20, 1.9144, 194.0000, 0.5117, 6, 143, 158
24, 1.8162, 240.0000, 0.5095, 0, 123, 178
26, 1.8549, 260.0000, 0.5072, 0, 142, 159
27, 1.8762, 265.0000, 0.5050, 6, 152, 149
29, 1.8138, 272.0000, 0.5027, 10, 159, 142
21, 1.8882, 213.0000, 0.5005, 8, 143, 158
24, 1.8521, 236.0000, 0.4982, 4, 150, 151
19, 1.8725, 184.0000, 0.4960, 9, 140, 161
22, 1.7893, 217.0000, 0.4937, 3, 137, 164
28, 1.1723, 274.0000, 0.4915, 10, 164, 137
25, 1.3757, 231.0000, 0.4892, 24, 177, 124
31, 1.7997, 301.0000, 0.4870, 16, 190, 111
29, 1.7920, 287.0000, 0.4847, 7, 164, 137
23, 1.8326, 211.0000, 0.4825, 9, 144, 157
26, 1.8215, 268.0000, 0.4802, 2, 140, 161
28, 1.8107, 266.0000, 0.4780, 4, 156, 145
26, 1.8403, 262.0000, 0.4757, 9, 156, 145
27, 1.7882, 263.0000, 0.4735, 10, 154, 147
24, 1.9137, 233.0000, 0.4712, 11, 171, 130
25, 1.7949, 245.0000, 0.4690, 6, 162, 139
31, 1.9067, 304.0000, 0.4667, 7, 172, 129
25, 1.8185, 242.0000, 0.4645, 9, 168, 133
25, 1.9290, 249.0000, 0.4622, 3, 141, 160
28, 1.8415, 276.0000, 0.4600, 9, 180, 121
29, 1.8632, 268.0000, 0.4577, 17, 171, 130
24, 1.8602, 244.0000, 0.4555, 7, 179, 122
30, 1.8963, 291.0000, 0.4532, 11, 193, 108
27, 1.9014, 260.0000, 0.4510, 15, 171, 130
28, 1.8379, 259.0000, 0.4487, 15, 171, 130
27, 1.8141, 261.0000, 0.4465, 26, 172, 129
35, 1.7819, 347.0000, 0.4442, 5, 200, 101
28, 1.7723, 274.0000, 0.4420, 13, 176, 125
31, 1.8095, 309.0000, 0.4397, 6, 209, 92
31, 1.8130, 304.0000, 0.4375, 17, 200, 101
28, 1.8243, 269.0000, 0.4352, 15, 188, 113
25, 1.8320, 229.0000, 0.4330, 27, 175, 126
35, 1.7852, 348.0000, 0.4307, 4, 191, 110
29, 1.8252, 279.0000, 0.4285, 11, 138, 163
30, 1.8123, 296.0000, 0.4262, 5, 166, 135
20, 1.8168, 191.0000, 0.4240, 12, 148, 153
19, 1.8839, 188.0000, 0.4217, 4, 134, 167
30, 1.8192, 284.0000, 0.4195, 8, 181, 120
33, 1.8926, 337.0000, 0.4172, 8, 187, 114
30, 1.8206, 293.0000, 0.4150, 7, 143, 158
25, 1.8947, 248.0000, 0.4127, 4, 161, 140
28, 1.8571, 268.0000, 0.4105, 14, 162, 139
26, 1.8413, 247.0000, 0.4082, 18, 172, 129
27, 1.8546, 240.0000, 0.4060, 34, 173, 128
23, 1.8827, 225.0000, 0.4037, 6, 126, 175
28, 1.8524, 278.0000, 0.4015, 3, 169, 132
25, 1.7949, 248.0000, 0.3992, 4, 144, 157
29, 1.8774, 282.0000, 0.3970, 12, 187, 114
29, 1.8040, 279.0000, 0.3947, 11, 164, 137
26, 1.8006, 245.0000, 0.3925, 16, 143, 158
32, 1.8275, 299.0000, 0.3902, 12, 156, 145
31, 1.8324, 318.0000, 0.3880, 4, 178, 123
33, 1.8189, 326.0000, 0.3857, 8, 163, 138
27, 1.7780, 249.0000, 0.3835, 29, 189, 112
26, 1.7385, 260.0000, 0.3812, 2, 168, 133
27, 1.1539, 259.0000, 0.3790, 3, 160, 141
27, 1.3893, 277.0000, 0.3767, 6, 163, 138
28, 1.8417, 280.0000, 0.3745, 0, 133, 168
31, 1.8607, 301.0000, 0.3722, 12, 164, 137
33, 1.9336, 324.0000, 0.3700, 10, 204, 97
28, 1.7898, 278.0000, 0.3677, 2, 157, 144
30, 1.8096, 295.0000, 0.3655, 5, 143, 158
30, 2.0259, 293.0000, 0.3632, 7, 171, 130
36, 1.8407, 356.0000, 0.3610, 4, 176, 125
28, 1.8126, 278.0000, 0.3587, 3, 171, 130
32, 1.8319, 318.0000, 0.3565, 2, 175, 126
31, 1.8645, 301.0000, 0.3542, 10, 192, 109
34, 1.8354, 338.0000, 0.3520, 7, 196, 105
30, 1.8059, 298.0000, 0.3497, 6, 180, 121
27, 1.7899, 268.0000, 0.3475, 2, 154, 147
30, 1.7948, 296.0000, 0.3452, 5, 183, 118
25, 1.8191, 249.0000, 0.3430, 3, 155, 146
37, 1.8370, 366.0000, 0.3407, 6, 201, 100
36, 1.8794, 358.0000, 0.3385, 3, 176, 125
36, 1.8176, 359.0000, 0.3362, 2, 174, 127
30, 1.7671, 300.0000, 0.3340, 0, 147, 154
32, 1.7956, 319.0000, 0.3317, 3, 163, 138
33, 1.8129, 328.0000, 0.3295, 3, 181, 120
33, 1.8490, 330.0000, 0.3272, 0, 154, 147
32, 1.8133, 314.0000, 0.3250, 12, 189, 112
37, 1.8083, 362.0000, 0.3227, 8, 154, 147
30, 1.8966, 287.0000, 0.3205, 3, 146, 155
29, 1.8766, 283.0000, 0.3182, 22, 180, 121
32, 1.8708, 311.0000, 0.3160, 11, 190, 111
33, 1.8523, 318.0000, 0.3137, 17, 197, 104
36, 1.8561, 356.0000, 0.3115, 5, 188, 113
28, 1.8420, 279.0000, 0.3092, 2, 156, 145
31, 1.8378, 306.0000, 0.3070, 9, 210, 91
33, 1.8534, 300.0000, 0.3047, 26, 201, 100
33, 1.8050, 324.0000, 0.3025, 18, 192, 109
28, 1.7796, 277.0000, 0.3002, 9, 195, 106
30, 1.8046, 294.0000, 0.2980, 13, 184, 117
31, 1.3288, 310.0000, 0.2957, 0, 169, 132
33, 1.1602, 328.0000, 0.2935, 4, 170, 131
34, 1.7487, 338.0000, 0.2912, 4, 174, 127
32, 1.7796, 320.0000, 0.2890, 0, 163, 138
29, 1.7992, 290.0000, 0.2867, 0, 180, 121
31, 1.8190, 306.0000, 0.2845, 4, 176, 125
31, 1.8824, 308.0000, 0.2822, 3, 170, 131
22, 1.7861, 218.0000, 0.2800, 2, 137, 164
33, 1.8722, 328.0000, 0.2777, 2, 162, 139
31, 1.8394, 310.0000, 0.2755, 0, 151, 150
22, 1.8585, 207.0000, 0.2732, 13, 132, 169
36, 1.8483, 358.0000, 0.2710, 4, 180, 121
31, 1.8100, 310.0000, 0.2687, 0, 171, 130
37, 1.8167, 366.0000, 0.2665, 4, 201, 100
38, 1.7927, 370.0000, 0.2642, 4, 205, 96
30, 1.8013, 303.0000, 0.2620, 12, 205, 96
33, 1.8356, 326.0000, 0.2597, 8, 201, 100
30, 1.8489, 288.0000, 0.2575, 6, 183, 118
32, 1.8806, 330.0000, 0.2552, 2, 191, 110
32, 1.7770, 309.0000, 0.2530, 16, 204, 97
43, 1.7914, 410.0000, 0.2507, 14, 216, 85
32, 1.8974, 315.0000, 0.2485, 11, 212, 89
40, 1.7906, 391.0000, 0.2462, 14, 218, 83
32, 1.8133, 323.0000, 0.2440, 14, 210, 91
39, 1.8124, 389.0000, 0.2417, 6, 221, 80
33, 1.8113, 326.0000, 0.2395, 7, 201, 100
30, 1.8468, 284.0000, 0.2372, 21, 210, 91
29, 1.8696, 290.0000, 0.2350, 1, 158, 143
34, 1.7866, 338.0000, 0.2327, 5, 182, 119
31, 1.8053, 309.0000, 0.2305, 5, 189, 112
29, 1.7736, 288.0000, 0.2282, 3, 190, 111
31, 1.7846, 303.0000, 0.2260, 8, 184, 117
31, 1.8606, 306.0000, 0.2237, 9, 196, 105
35, 1.7799, 330.0000, 0.2215, 10, 158, 143
35, 1.9793, 360.0000, 0.2192, 1, 191, 110
33, 1.9169, 328.0000, 0.2170, 4, 189, 112
32, 1.9004, 316.0000, 0.2147, 9, 209, 92
37, 1.7794, 352.0000, 0.2125, 23, 198, 103
36, 1.7179, 357.0000, 0.2102, 4, 210, 91
35, 1.1642, 347.0000, 0.2080, 6, 216, 85
41, 1.4797, 407.0000, 0.2057, 5, 224, 77
34, 1.8221, 340.0000, 0.2035, 3, 173, 128
36, 1.8396, 350.0000, 0.2012, 3, 195, 106
36, 1.7911, 359.0000, 0.1990, 3, 200, 101
32, 1.8369, 308.0000, 0.1967, 18, 194, 107
34, 1.8746, 350.0000, 0.1945, 0, 194, 107
35, 1.9440, 349.0000, 0.1922, 3, 184, 117
31, 2.1074, 294.0000, 0.1900, 18, 207, 94
37, 1.9257, 362.0000, 0.1877, 12, 210, 91
34, 1.9208, 328.0000, 0.1855, 19, 219, 82
38, 1.9881, 376.0000, 0.1832, 6, 216, 85
32, 1.9020, 314.0000, 0.1810, 10, 181, 120
37, 1.9692, 366.0000, 0.1787, 11, 222, 79
34, 1.9516, 338.0000, 0.1765, 3, 187, 114
28, 1.8748, 276.0000, 0.1742, 7, 175, 126
34, 1.9352, 337.0000, 0.1720, 5, 184, 117
36, 1.7904, 348.0000, 0.1697, 3, 191, 110
38, 1.9677, 389.0000, 0.1675, 3, 207, 94
40, 2.0223, 386.0000, 0.1652, 4, 218, 83
35, 2.1782, 354.0000, 0.1630, 7, 213, 88
36, 2.1206, 354.0000, 0.1607, 12, 226, 75
40, 1.8599, 397.0000, 0.1585, 8, 231, 70
38, 1.7792, 369.0000, 0.1562, 23, 235, 66
36, 1.7121, 340.0000, 0.1540, 16, 225, 76
37, 1.7210, 369.0000, 0.1517, 22, 232, 69
40, 1.6695, 396.0000, 0.1495, 11, 218, 83
34, 1.6865, 331.0000, 0.1472, 15, 202, 99
35, 1.6625, 341.0000, 0.1450, 17, 219, 82
35, 1.6682, 341.0000, 0.1427, 16, 200, 101
30, 1.6688, 295.0000, 0.1405, 14, 215, 86
35, 1.6640, 340.0000, 0.1382, 17, 224, 77
34, 1.6658, 336.0000, 0.1360, 11, 232, 69
34, 1.6739, 335.0000, 0.1337, 11, 231, 70
34, 1.6601, 333.0000, 0.1315, 16, 227, 74
30, 1.6633, 296.0000, 0.1292, 9, 193, 108
37, 1.6848, 368.0000, 0.1270, 7, 205, 96
30, 1.7185, 286.0000, 0.1247, 10, 206, 95
34, 1.6973, 338.0000, 0.1225, 21, 198, 103
40, 1.6914, 389.0000, 0.1202, 6, 225, 76
39, 1.7789, 395.0000, 0.1180, 9, 228, 73
32, 1.6685, 312.0000, 0.1157, 12, 207, 94
34, 1.1422, 327.0000, 0.1135, 22, 239, 62
34, 1.6901, 333.0000, 0.1112, 15, 213, 88
37, 1.6806, 364.0000, 0.1090, 15, 240, 61
33, 1.6983, 327.0000, 0.1067, 13, 213, 88
36, 1.7225, 354.0000, 0.1045, 16, 219, 82
35, 1.6858, 347.0000, 0.1022, 7, 221, 80
